,actual,country,date,forecast,impact,new,previous,time
784,-4302k,USD,"Thursday, September 6, 2018",-2900k,Medium,USD DOE U.S. Crude Oil Inventories (AUG 31),-2566k,15:00
785,549k,USD,"Thursday, September 6, 2018",,Low,USD DOE Cushing OK Crude Inventory (AUG 31),58k,15:00
786,1845k,USD,"Thursday, September 6, 2018",-1500k,Low,USD DOE U.S. Gasoline Inventories (AUG 31),-1554k,15:00
787,3119k,USD,"Thursday, September 6, 2018",700k,Low,USD DOE U.S. Distillate Inventory (AUG 31),-837k,15:00
788,,CHF,"Thursday, September 6, 2018",,Low,CHF SNB's Zurbruegg holds speech at Lucerne University,,16:30
789,,CAD,"Thursday, September 6, 2018",,Low,CAD Bank of Canada Wilkins Speech in Saskatchewan,,18:30
790,51.8,AUD,"Thursday, September 6, 2018",,Medium,AUD AiG Performance of Construction Index (AUG),52,22:30
791,0.1%,JPY,"Thursday, September 6, 2018",-0.9%,Medium,JPY Overall Household Spending (YoY) (JUL),-1.2%,23:30
792,$1259.3b,JPY,"Thursday, September 6, 2018",,Low,JPY Official Reserve Assets (AUG),$1256.3b,23:50
793,$3109.72b,CNY,"Friday, September 7, 2018",$3115.00b,Low,CNY Foreign Reserves (AUG),$3117.95b,
794,1.5%,JPY,"Friday, September 7, 2018",2.4%,Medium,JPY Labor Cash Earnings (YoY) (JUL),3.3%,00:00
795,0.4%,JPY,"Friday, September 7, 2018",1.1%,Medium,JPY Real Cash Earnings (YoY) (JUL),2.5%,00:00
796,0.4%,AUD,"Friday, September 7, 2018",-0.1%,Medium,AUD Home Loans (MoM) (JUL),-0.8%,01:30
797,-1.3%,AUD,"Friday, September 7, 2018",,Low,AUD Investment Lending (JUL),-2.6%,01:30
798,1.3%,AUD,"Friday, September 7, 2018",,Low,AUD Value of Loans (MoM) (JUL),-0.9%,01:30
799,103.5,JPY,"Friday, September 7, 2018",103.5,Medium,JPY Leading Index CI (JUL P),104.7,05:00
800,116.3,JPY,"Friday, September 7, 2018",115.7,Medium,JPY Coincident Index (JUL P),116.4,05:00
801,2.4%,CHF,"Friday, September 7, 2018",2.4%,Medium,CHF Unemployment Rate (AUG),2.4%,05:45
802,2.6%,CHF,"Friday, September 7, 2018",2.6%,Medium,CHF Unemployment Rate s.a. (AUG),2.6%,05:45
803,16.5b,EUR,"Friday, September 7, 2018",19.5b,Medium,EUR German Trade Balance (JUL),21.8b,06:00
804,15.3b,EUR,"Friday, September 7, 2018",20.0b,Low,EUR German Current Account (euros) (JUL),26.2b,06:00
805,-0.9%,EUR,"Friday, September 7, 2018",0.3%,Low,EUR German Exports s.a. (MoM) (JUL),0.1%,06:00
806,2.8%,EUR,"Friday, September 7, 2018",0.1%,Low,EUR German Imports s.a. (MoM) (JUL),1.3%,06:00
807,-1.1%,EUR,"Friday, September 7, 2018",0.2%,Low,EUR German Industrial Production s.a. (MoM) (JUL),-0.7%,06:00
808,1.1%,EUR,"Friday, September 7, 2018",2.6%,Medium,EUR German Industrial Production n.s.a. and w.d.a. (YoY) (JUL),2.7%,06:00
809,0.1%,GBP,"Friday, September 7, 2018",-0.3%,Low,GBP Halifax House Prices (MoM) (AUG),1.2%,07:30
810,3.7%,GBP,"Friday, September 7, 2018",3.9%,Low,GBP Halifax House Price 3Mths/Year (AUG),3.3%,07:30
811,3.0%,GBP,"Friday, September 7, 2018",,High,GBP BoE/TNS Inflation Next 12 Mths (AUG),2.9%,08:30
812,0.4%,EUR,"Friday, September 7, 2018",0.4%,Low,EUR Euro-Zone Gross Domestic Product s.a. (QoQ) (2Q F),0.4%,09:00
813,2.1%,EUR,"Friday, September 7, 2018",2.2%,Medium,EUR Euro-Zone Gross Domestic Product s.a. (YoY) (2Q F),2.2%,09:00
814,65.3,CAD,"Friday, September 7, 2018",65.5,Low,CAD Participation Rate (AUG),65.4,12:30
815,6.0%,CAD,"Friday, September 7, 2018",5.9%,High,CAD Unemployment Rate (AUG),5.8%,12:30
816,-51.6k,CAD,"Friday, September 7, 2018",5.0k,High,CAD Net Change in Employment (AUG),54.1k,12:30
817,40.4,CAD,"Friday, September 7, 2018",35,Medium,CAD Full Time Employment Change (AUG),-28,12:30
818,-92,CAD,"Friday, September 7, 2018",-30,Low,CAD Part Time Employment Change (AUG),82,12:30
819,2.6%,CAD,"Friday, September 7, 2018",3.0%,Medium,CAD Hourly Earnings Permanent Employees (YoY) (AUG),3.0%,12:30
820,,USD,"Friday, September 7, 2018",,Low,USD Fed's Rosengren Makes Opening Remarks at Boston Fed Conference,,12:30
821,201k,USD,"Friday, September 7, 2018",190k,High,USD Change in Non-Farm Payrolls (AUG),147k,12:30
822,204k,USD,"Friday, September 7, 2018",194k,Medium,USD Change in Private Payrolls (AUG),153k,12:30
823,-3k,USD,"Friday, September 7, 2018",23k,Low,USD Change in Manufact. Payrolls (AUG),18k,12:30
824,62.7%,USD,"Friday, September 7, 2018",,Low,USD Labor Force Participation Rate (AUG),62.9%,12:30
825,3.9%,USD,"Friday, September 7, 2018",3.8%,High,USD Unemployment Rate (AUG),3.9%,12:30
826,7.4%,USD,"Friday, September 7, 2018",,Low,USD Underemployment Rate (AUG),7.5%,12:30
827,0.4%,USD,"Friday, September 7, 2018",0.2%,Low,USD Average Hourly Earnings (MoM) (AUG),0.3%,12:30
828,2.9%,USD,"Friday, September 7, 2018",2.7%,Medium,USD Average Hourly Earnings (YoY) (AUG),2.7%,12:30
829,34.5,USD,"Friday, September 7, 2018",34.5,Medium,USD Average Weekly Hours All Employees (AUG),34.5,12:30
830,-50k,USD,"Friday, September 7, 2018",,Low,USD Two-Month Payroll Net Revision (AUG),,12:30
831,0.25%,MXN,"Friday, September 7, 2018",0.25%,Medium,MXN Consumer Price Index Core (MoM) (AUG),0.29%,13:00
832,0.58%,MXN,"Friday, September 7, 2018",0.53%,Medium,MXN Consumer Price Index (MoM) (AUG),0.54%,13:00
833,4.90%,MXN,"Friday, September 7, 2018",4.85%,High,MXN Consumer Price Index (YoY) (AUG),4.81%,13:00
834,0.09%,MXN,"Friday, September 7, 2018",0.09%,Medium,MXN Bi-Weekly Core Consumer Price Index (AUG 31),0.18%,13:00
835,0.3%,MXN,"Friday, September 7, 2018",0.2%,Medium,MXN Bi-Weekly Consumer Price Index (AUG 31),0.34%,13:00
836,5.0%,MXN,"Friday, September 7, 2018",4.9%,Medium,MXN Bi-Weekly Consumer Price Index (YoY) (AUG 31),4.81%,13:00
837,,USD,"Friday, September 7, 2018",,Low,USD Fed's Mester Moderates Panel at Boston Fed conference,,13:00
838,61.9,CAD,"Friday, September 7, 2018",,Low,CAD Ivey Purchasing Managers Index s.a. (AUG),61.8,14:00
839,,USD,"Friday, September 7, 2018",,Low,USD Fed's Kaplan Speaks at Energy Conference in Dallas,,16:45
840,1048,USD,"Friday, September 7, 2018",,Medium,USD Baker Hughes U.S. Rig Count (SEP 7),1048,17:00
841,7.9%,CNY,"Saturday, September 8, 2018",5.7%,Low,CNY Exports (YoY) CNY (AUG),6.0%,03:02
842,179.75b,CNY,"Saturday, September 8, 2018",204.95b,Medium,CNY Trade Balance CNY (AUG),176.96b,03:02
843,18.8%,CNY,"Saturday, September 8, 2018",12.1%,Low,CNY Imports (YoY) CNY (AUG),20.9%,03:02
844,9.8%,CNY,"Saturday, September 8, 2018",10.0%,Low,CNY Exports (YoY) (AUG),12.2%,04:08
845,$27.91b,CNY,"Saturday, September 8, 2018",$31.00b,Medium,CNY Trade Balance (AUG),$28.05b,04:08
846,20.0%,CNY,"Saturday, September 8, 2018",17.7%,Low,CNY Imports (YoY) (AUG),27.3%,04:08
847,16.2%,CNY,"Monday, August 27, 2018",,Low,CNY Industrial Profits (YoY) (JUL),20.0%,01:30
848,103.8,EUR,"Monday, August 27, 2018",101.8,Medium,EUR German IFO Business Climate (AUG),101.7,08:00
849,98.4,EUR,"Monday, August 27, 2018",98.4,Medium,EUR German IFO Expectations (AUG),98.2,08:00
850,106.4,EUR,"Monday, August 27, 2018",105.3,Medium,EUR German IFO Current Assessment (AUG),105.3,08:00
851,566.8b,CHF,"Monday, August 27, 2018",,Low,CHF Total Sight Deposits CHF (AUG 24),576.6b,08:00
852,477.0,CHF,"Monday, August 27, 2018",,Low,CHF Domestic Sight Deposits CHF (AUG 24),472.6,08:00
853,0.13,USD,"Monday, August 27, 2018",0.45,Low,USD Chicago Fed Nat Activity Index (JUL),0.48,12:30
854,30.9,USD,"Monday, August 27, 2018",30,Low,USD Dallas Fed Manufacturing Activity (AUG),32.3,14:30
855,,USD,"Monday, August 27, 2018",,Low,USD U.S. to Sell 3-Month Bills (AUG 27),,15:30
856,,USD,"Monday, August 27, 2018",,Low,USD U.S. to Sell 6-Month Bills (AUG 27),,15:30
857,,USD,"Monday, August 27, 2018",,Low,USD U.S. to Sell 2-Year Notes (AUG 27),,17:00
858,116.5,AUD,"Monday, August 27, 2018",,Low,AUD ANZ Roy Morgan Weekly Consumer Confidence Index (AUG 26),114.1,23:30
859,4.0%,EUR,"Tuesday, August 28, 2018",4.3%,Low,EUR Euro-Zone M3 Money Supply (YoY) (JUL),4.5%,08:00
860,,EUR,"Tuesday, August 28, 2018",,Low,"EUR ECB Board Member Peter Praet Speaks in Cologne, Germany",,11:00
861,-$72.2b,USD,"Tuesday, August 28, 2018",-$69.0b,High,USD Advance Goods Trade Balance (JUL),-$67.9b,12:30
862,0.7%,USD,"Tuesday, August 28, 2018",0.2%,Medium,USD Wholesale Inventories (MoM) (JUL P),0.1%,12:30
863,0.4%,USD,"Tuesday, August 28, 2018",,Low,USD Retail Inventories (MoM) (JUL),0.1%,12:30
864,0.11%,USD,"Tuesday, August 28, 2018",0.2%,Medium,USD S&P CoreLogic CS 20-City (MoM) SA (JUN),0.21%,13:00
865,6.31%,USD,"Tuesday, August 28, 2018",6.40%,Medium,USD S&P/Case-Shiller Composite-20 (YoY) (JUN),6.54%,13:00
866,213.07,USD,"Tuesday, August 28, 2018",,Low,USD S&P/Case-Shiller 20-City Index n.s.a (JUN),212,13:00
867,204.48,USD,"Tuesday, August 28, 2018",,Low,USD S&P/Case-Shiller US Home Price Index (JUN),202.91,13:00
868,6.24%,USD,"Tuesday, August 28, 2018",,Medium,USD S&P/Case-Shiller US Home Price Index (YoY) (JUN),6.38%,13:00
869,24,USD,"Tuesday, August 28, 2018",17,Low,USD Richmond Fed Manufact. Index (AUG),20,14:00
870,133.4,USD,"Tuesday, August 28, 2018",126.6,High,USD Consumer Confidence Index (AUG),127.9,14:00
871,172.2,USD,"Tuesday, August 28, 2018",,Medium,USD Conf. Board Present Situation (AUG),166.1,14:00
872,107.6,USD,"Tuesday, August 28, 2018",,Low,USD Conf. Board Expectations (AUG),102.4,14:00
873,,USD,"Tuesday, August 28, 2018",,Low,USD U.S. to Sell 4-Week Bills (AUG 28),,15:30
874,,USD,"Tuesday, August 28, 2018",,Low,USD U.S. to Sell 5-Year Notes (AUG 28),,17:00
875,0.1%,GBP,"Tuesday, August 28, 2018",,Low,GBP BRC Shop Price Index (YoY) (AUG),-0.3%,23:01
876,,MXN,"Wednesday, August 29, 2018",,High,MXN Mexican Central Bank Releases Inflation Report (2Q),,
877,,JPY,"Wednesday, August 29, 2018",,Low,JPY BOJ Outright Bond Purchase 10~25 Years,,01:10
878,,JPY,"Wednesday, August 29, 2018",,Low,JPY BOJ Outright Bond Purchase 25 Years~,,01:10
879,,JPY,"Wednesday, August 29, 2018",,Low,JPY BOJ Suzuki speaks in Naha,,01:30
880,43.3,JPY,"Wednesday, August 29, 2018",43.3,Medium,JPY Consumer Confidence Index (AUG),43.5,05:00
881,10.5,EUR,"Wednesday, August 29, 2018",10.6,Medium,EUR German GfK Consumer Confidence (SEP),10.6,06:00
882,0.2%,EUR,"Wednesday, August 29, 2018",0.2%,Low,EUR French Gross Domestic Product (QoQ) (2Q P),0.2%,06:45
883,1.7%,EUR,"Wednesday, August 29, 2018",1.7%,Medium,EUR French Gross Domestic Product (YoY) (2Q P),1.7%,06:45
884,-14.3,CHF,"Wednesday, August 29, 2018",,Low,CHF Credit Suisse Survey Expectations (AUG),-4,08:00
885,-1.7%,USD,"Wednesday, August 29, 2018",,Medium,USD MBA Mortgage Applications (AUG 24),4.2%,11:00
886,-$15.88b,CAD,"Wednesday, August 29, 2018",-$15.30b,Low,CAD Current Account Balance (2Q),-$17.48b,12:30
887,4.2%,USD,"Wednesday, August 29, 2018",4.0%,High,USD Gross Domestic Product Annualized (QoQ) (2Q S),4.1%,12:30
888,3.0%,USD,"Wednesday, August 29, 2018",3.0%,High,USD Gross Domestic Product Price Index (2Q S),3.0%,12:30
889,3.8%,USD,"Wednesday, August 29, 2018",3.9%,Medium,USD Personal Consumption (2Q S),4.0%,12:30
890,2.0%,USD,"Wednesday, August 29, 2018",2.0%,Medium,USD Core Personal Consumption Expenditure (QoQ) (2Q S),2.0%,12:30
891,-0.7%,USD,"Wednesday, August 29, 2018",0.3%,Low,USD Pending Home Sales (MoM) (JUL),1.0%,14:00
892,-0.5%,USD,"Wednesday, August 29, 2018",-2.5%,Medium,USD Pending Home Sales (YoY) (JUL),-4.0%,14:00
893,-2566k,USD,"Wednesday, August 29, 2018",-1487k,Medium,USD DOE U.S. Crude Oil Inventories (AUG 24),-5836k,14:30
894,58k,USD,"Wednesday, August 29, 2018",,Low,USD DOE Cushing OK Crude Inventory (AUG 24),772k,14:30
895,-1554k,USD,"Wednesday, August 29, 2018",0k,Low,USD DOE U.S. Gasoline Inventories (AUG 24),1200k,14:30
896,-837k,USD,"Wednesday, August 29, 2018",1650k,Low,USD DOE U.S. Distillate Inventory (AUG 24),1849k,14:30
897,,USD,"Wednesday, August 29, 2018",,Low,USD U.S. to Sell 2-Year Floating Rate Notes (AUG 29),,15:30
898,,USD,"Wednesday, August 29, 2018",,Low,USD U.S. to Sell 7-Year Notes (AUG 29),,17:00
899,-10.3%,NZD,"Wednesday, August 29, 2018",,Medium,NZD Building Permits (MoM) (JUL),-7.6%,22:45
900,¥235.5b,JPY,"Wednesday, August 29, 2018",,Low,JPY Japan Buying Foreign Bonds (Yen) (AUG 24),-¥1929.4b,23:50
901,¥-60.9b,JPY,"Wednesday, August 29, 2018",,Low,JPY Japan Buying Foreign Stocks (Yen) (AUG 24),¥264.6b,23:50
902,¥-14.5b,JPY,"Wednesday, August 29, 2018",,Low,JPY Foreign Buying Japan Bonds (AUG 24),-¥729.6b,23:50
903,¥-334.9b,JPY,"Wednesday, August 29, 2018",,Low,JPY Foreign Buying Japan Stocks (AUG 24),-¥510.6b,23:50
904,0.1%,JPY,"Wednesday, August 29, 2018",0.2%,Low,JPY Retail Trade s.a. (MoM) (JUL),1.5%,23:50
905,1.5%,JPY,"Wednesday, August 29, 2018",1.2%,Medium,JPY Retail Trade (YoY) (JUL),1.8%,23:50
906,-1.6%,JPY,"Wednesday, August 29, 2018",-0.7%,Medium,JPY Large Retailers' Sales (JUL),1.5%,23:50
907,3.18%,JPY,"Wednesday, August 29, 2018",,Medium,JPY Loans & Discounts Corp (YoY) (JUL),3.17%,23:50
908,3.8,NZD,"Thursday, August 30, 2018",,Medium,NZD ANZ Activity Outlook (AUG),3.8,01:00
909,-50.3,NZD,"Thursday, August 30, 2018",,Low,NZD ANZ Business Confidence (AUG),-44.9,01:00
910,2.04%,CNY,"Thursday, August 30, 2018",,Low,CNY Swift Global Payments CNY (JUL),1.81%,01:00
911,-2.5%,AUD,"Thursday, August 30, 2018",0.6%,Medium,AUD Private Capital Expenditure (2Q),0.4%,01:30
912,-5.2%,AUD,"Thursday, August 30, 2018",-2.0%,Low,AUD Building Approvals (MoM) (JUL),6.4%,01:30
913,-5.6%,AUD,"Thursday, August 30, 2018",-3.0%,Medium,AUD Building Approvals (YoY) (JUL),1.6%,01:30
914,-0.2%,EUR,"Thursday, August 30, 2018",0.0%,Low,EUR German Import Price Index (MoM) (JUL),0.5%,06:00
915,5.0%,EUR,"Thursday, August 30, 2018",5.2%,Low,EUR German Import Price Index (YoY) (JUL),4.8%,06:00
916,100.3,CHF,"Thursday, August 30, 2018",101.3,Medium,CHF KOF Leading Indicator (AUG),101.7,07:00
917,-8k,EUR,"Thursday, August 30, 2018",-8k,High,EUR German Unemployment Change (000's) (AUG),-6k,07:55
918,5.2%,EUR,"Thursday, August 30, 2018",5.2%,High,EUR German Unemployment Claims Rate s.a. (AUG),5.2%,07:55
919,0.8b,GBP,"Thursday, August 30, 2018",1.5b,Medium,GBP Net Consumer Credit (JUL),1.52b,08:30
920,3.2b,GBP,"Thursday, August 30, 2018",3.9b,Medium,GBP Net Lending Sec. on Dwellings (JUL),3.85b,08:30
921,64.8k,GBP,"Thursday, August 30, 2018",65.0k,Medium,GBP Mortgage Approvals (JUL),65.4k,08:30
922,0.9%,GBP,"Thursday, August 30, 2018",,Low,GBP Money Supply M4 (MoM) (JUL),-0.3%,08:30
923,2.1%,GBP,"Thursday, August 30, 2018",,Low,GBP M4 Money Supply (YoY) (JUL),1.7%,08:30
924,3.5%,GBP,"Thursday, August 30, 2018",,Low,GBP M4 Ex IOFCs 3M Annualised (JUL),3.6%,08:30
925,111.6,EUR,"Thursday, August 30, 2018",111.9,Low,EUR Euro-Zone Economic Confidence (AUG),112.1,09:00
926,1.22,EUR,"Thursday, August 30, 2018",1.26,Low,EUR Euro-Zone Business Climate Indicator (AUG),1.30,09:00
927,5.5,EUR,"Thursday, August 30, 2018",5.5,Low,EUR Euro-Zone Industrial Confidence (AUG),5.8,09:00
928,14.7,EUR,"Thursday, August 30, 2018",15.2,Low,EUR Euro-Zone Services Confidence (AUG),15.3,09:00
929,-1.9,EUR,"Thursday, August 30, 2018",-1.9,Low,EUR Euro-Zone Consumer Confidence (AUG F),-1.9,09:00
930,61.6,CAD,"Thursday, August 30, 2018",,Low,CAD CFIB Business Barometer (AUG),56.8,10:00
931,0.1%,EUR,"Thursday, August 30, 2018",0.1%,Medium,EUR German Consumer Price Index (MoM) (AUG P),0.3%,12:00
932,2.0%,EUR,"Thursday, August 30, 2018",2.0%,High,EUR German Consumer Price Index (YoY) (AUG P),2.0%,12:00
933,2.9%,CAD,"Thursday, August 30, 2018",3.1%,High,CAD Quarterly Gross Domestic Product Annualized (2Q),1.4%,12:30
934,0.0%,CAD,"Thursday, August 30, 2018",0.1%,Medium,CAD Gross Domestic Product (MoM) (JUN),0.5%,12:30
935,2.4%,CAD,"Thursday, August 30, 2018",2.3%,High,CAD Gross Domestic Product (YoY) (JUN),2.7%,12:30
936,2.0%,USD,"Thursday, August 30, 2018",2.0%,High,USD Personal Consumption Expenditure Core (YoY) (JUL),1.9%,12:30
937,0.3%,USD,"Thursday, August 30, 2018",0.4%,Medium,USD Personal Income (JUL),0.4%,12:30
938,0.4%,USD,"Thursday, August 30, 2018",0.4%,Medium,USD Personal Spending (JUL),0.4%,12:30
939,213k,USD,"Thursday, August 30, 2018",212k,Medium,USD Initial Jobless Claims (AUG 25),210k,12:30
940,1708k,USD,"Thursday, August 30, 2018",1725k,Medium,USD Continuing Claims (AUG 18),1728k,12:30
941,0.2%,USD,"Thursday, August 30, 2018",0.2%,Medium,USD Real Personal Spending (JUL),0.3%,12:30
942,0.1%,USD,"Thursday, August 30, 2018",0.1%,Low,USD Personal Consumption Expenditure Deflator (MoM) (JUL),0.1%,12:30
943,2.3%,USD,"Thursday, August 30, 2018",2.3%,Low,USD Personal Consumption Expenditure Deflator (YoY) (JUL),2.2%,12:30
944,0.2%,USD,"Thursday, August 30, 2018",0.2%,Medium,USD Personal Consumption Expenditure Core (MoM) (JUL),0.1%,12:30
945,70,USD,"Thursday, August 30, 2018",62,Low,USD EIA Working Natural Gas Implied Flow (AUG 24),48,14:30
946,70,USD,"Thursday, August 30, 2018",62,Low,USD EIA Natural Gas Storage Change (AUG 24),48,14:30
947,117.6,NZD,"Thursday, August 30, 2018",,Low,NZD ANZ Consumer Confidence Index (AUG),118.4,22:00
948,-0.7%,NZD,"Thursday, August 30, 2018",,Low,NZD ANZ Consumer Confidence (MoM) (AUG),-1.3%,22:00
949,-7,GBP,"Thursday, August 30, 2018",-10,Medium,GBP GfK Consumer Confidence (AUG),-10,23:01
950,23,GBP,"Thursday, August 30, 2018",,Low,GBP Lloyds Business Barometer (AUG),29,23:01
951,1.63,JPY,"Thursday, August 30, 2018",1.63,Low,JPY Job-To-Applicant Ratio (JUL),1.62,23:30
952,2.5%,JPY,"Thursday, August 30, 2018",2.4%,Medium,JPY Jobless Rate (JUL),2.4%,23:30
953,1.2%,JPY,"Thursday, August 30, 2018",1.0%,Low,JPY Tokyo Consumer Price Index (YoY) (AUG),0.9%,23:30
954,0.9%,JPY,"Thursday, August 30, 2018",0.8%,Low,JPY Tokyo Consumer Price Index Ex-Fresh Food (YoY) (AUG),0.8%,23:30
955,0.6%,JPY,"Thursday, August 30, 2018",0.5%,Low,"JPY Tokyo Consumer Price Index Ex-Fresh Food, Energy (YoY) (AUG)",0.5%,23:30
956,-0.1%,JPY,"Thursday, August 30, 2018",0.2%,Low,JPY Industrial Production (MoM) (JUL P),-1.8%,23:50
957,2.3%,JPY,"Thursday, August 30, 2018",2.7%,Medium,JPY Industrial Production (YoY) (JUL P),-0.9%,23:50
958,54.2,CNY,"Friday, August 31, 2018",53.7,Medium,CNY Non-manufacturing PMI (AUG),54,01:00
959,51.3,CNY,"Friday, August 31, 2018",51,High,CNY Manufacturing PMI (AUG),51.2,01:00
960,53.8,CNY,"Friday, August 31, 2018",,Medium,CNY Composite PMI (AUG),53.6,01:00
961,,JPY,"Friday, August 31, 2018",,Low,JPY BOJ Outright Bond Purchase 1~3 Years,,01:10
962,,JPY,"Friday, August 31, 2018",,Low,JPY BOJ Outright Bond Purchase 3~5 Years,,01:10
963,,JPY,"Friday, August 31, 2018",,Low,JPY BOJ Outright Bond Purchase 5~10 Years,,01:10
964,0.4%,AUD,"Friday, August 31, 2018",0.3%,Low,AUD Private Sector Credit (MoM) (JUL),0.3%,01:30
965,4.4%,AUD,"Friday, August 31, 2018",4.4%,Medium,AUD Private Sector Credit (YoY) (JUL),4.5%,01:30
966,-4.4%,JPY,"Friday, August 31, 2018",,Low,JPY Vehicle Production (YoY) (JUN),4.6%,04:00
967,-9.3%,JPY,"Friday, August 31, 2018",,Medium,JPY Construction Orders (YoY) (JUL),-6.5%,05:00
968,0.958m,JPY,"Friday, August 31, 2018",0.924m,Low,JPY Annualized Housing Starts (JUL),0.915m,05:00
969,-0.7%,JPY,"Friday, August 31, 2018",-4.3%,Medium,JPY Housing Starts (YoY) (JUL),-7.1%,05:00
970,-0.4%,EUR,"Friday, August 31, 2018",-0.2%,Low,EUR German Retail Sales (MoM) (JUL),0.9%,06:00
971,-0.5%,GBP,"Friday, August 31, 2018",0.1%,Low,GBP Nationwide House Px (MoM) (AUG),0.6%,06:00
972,0.8%,EUR,"Friday, August 31, 2018",1.3%,Medium,EUR German Retail Sales (YoY) (JUL),2.7%,06:00
973,2.0%,GBP,"Friday, August 31, 2018",2.7%,Medium,GBP Nationwide House Px n.s.a. (YoY) (AUG),2.5%,06:00
974,8.2%,EUR,"Friday, August 31, 2018",8.2%,Medium,EUR Euro-Zone Unemployment Rate (JUL),8.3%,09:00
975,1.0%,EUR,"Friday, August 31, 2018",1.1%,High,EUR Euro-Zone Consumer Price Index Core (YoY) (AUG A),1.1%,09:00
976,2.0%,EUR,"Friday, August 31, 2018",2.1%,High,EUR Euro-Zone Consumer Price Index Estimate (YoY) (AUG),2.1%,09:00
977,0.2%,EUR,"Friday, August 31, 2018",0.2%,Low,EUR Italian Gross Domestic Product w.d.a. (QoQ) (2Q F),0.2%,10:00
978,1.2%,EUR,"Friday, August 31, 2018",1.1%,Medium,EUR Italian Gross Domestic Product w.d.a. (YoY) (2Q F),1.2%,10:00
979,-0.2%,CAD,"Friday, August 31, 2018",-0.4%,Low,CAD Industrial Product Price (MoM) (JUL),0.7%,12:30
980,0.7%,CAD,"Friday, August 31, 2018",0.0%,Low,CAD Raw Materials Price Index (MoM) (JUL),0.6%,12:30
981,63.6,USD,"Friday, August 31, 2018",63,Medium,USD Chicago Purchasing Manager (AUG),65.5,13:45
982,96.2,USD,"Friday, August 31, 2018",95.5,Medium,USD U. of Mich. Sentiment (AUG F),95.3,14:00
983,110.3,USD,"Friday, August 31, 2018",,Low,USD U. of Mich. Current Conditions (AUG F),107.8,14:00
984,87.1,USD,"Friday, August 31, 2018",,Low,USD U. of Mich. Expectations (AUG F),87.3,14:00
985,3.0%,USD,"Friday, August 31, 2018",,Low,USD U. of Mich. 1 Yr Inflation (AUG F),2.9%,14:00
986,2.6%,USD,"Friday, August 31, 2018",,Low,USD U. of Mich. 5-10 Yr Inflation (AUG F),2.5%,14:00
987,1048,USD,"Friday, August 31, 2018",,Medium,USD Baker Hughes U.S. Rig Count (AUG 31),1044,17:00
988,,EUR,"Friday, August 31, 2018",,Low,"EUR ECB Board Member Luis Guindos Speaks in Asturias, Spain",,17:00
989,,AUD,"Tuesday, August 21, 2018",,Medium,AUD RBA Meeting Minutes (AUG 7),,01:30
990,-1.1%,NZD,"Tuesday, August 21, 2018",,Low,NZD Credit Card Spending (MoM) (JUL),2.1%,03:00
991,3.2%,NZD,"Tuesday, August 21, 2018",,Medium,NZD Credit Card Spending (YoY) (JUL),5.7%,03:00
992,1.5%,JPY,"Tuesday, August 21, 2018",,Low,JPY Supermarket Sales (YoY) (JUL),0.1%,05:00
993,-6.1%,JPY,"Tuesday, August 21, 2018",,Medium,JPY Nationwide Dept Sales (YoY) (JUL),3.1%,05:30
994,-4.5%,JPY,"Tuesday, August 21, 2018",,Medium,JPY Tokyo Dept Store Sales (YoY) (JUL),6.9%,05:30
995,-1.4%,CHF,"Tuesday, August 21, 2018",,Low,CHF Exports (MoM) (JUL),-0.1%,06:00
996,-1.4%,CHF,"Tuesday, August 21, 2018",,Low,CHF Imports (MoM) (JUL),-0.3%,06:00
997,13.1%,JPY,"Tuesday, August 21, 2018",,Low,JPY Machine Tool Orders (YoY) (JUL F),13.0%,06:00
998,6.6%,CHF,"Tuesday, August 21, 2018",,Low,CHF Swiss Watch Exports (YoY) (JUL),12.1%,06:00
